Community Board Complaints  6/1/2015 to 6/30/2015,,,,,,,,,,,
Complaint Number,Status,Date Entered,Address,Bin,Community Board,Special District,Complaint Category,Unit,Disposition Date,Disposition Code,Inspection Date
3519266,CLOSED,6/18/2015,1611 CEDAR STREET,3180981,314,,2E,BEST,6/18/2015,P6,6/18/2015
3519267,CLOSED,6/18/2015,1611 CEDAR STREET,3180981,314,,2E,BEST,6/18/2015,P6,6/18/2015
3519268,ACTIVE,6/18/2015,365 MIDWOOD STREET,3106666,309,,45,BKLYN,,,
3519269,ACTIVE,6/18/2015,141 WYONA STREET,3083557,305,,45,BKLYN,,,
3519270,CLOSED,6/18/2015,225 FRANKLIN STREET,3063879,301,,3,ERT,6/18/2015,I2,6/18/2015
3519271,ACTIVE,6/18/2015,66 WASHINGTON AVENUE,3255557,302,,45,BKLYN,,,
3519272,ACTIVE,6/18/2015,5544 AVENUE D,3321120,317,,58,BOILR,,,
3519274,ACTIVE,6/18/2015,36 UNDERHILL AVENUE,3418125,308,,15,BKLYN,,,
3519275,ACTIVE,6/18/2015,238 HALL STREET,3414236,302,,83,BKLYN,,,
3519276,CLOSED,6/18/2015,322 94 STREET,3155476,310,,73,BKLYN,6/24/2015,A8,6/18/2015
3519277,CLOSED,6/18/2015,1761 EAST 12 STREET,3182879,315,,5,BKLYN,6/23/2015,I2,6/20/2015
3519278,ACTIVE,6/18/2015,1107 38 STREET,3123028,312,,35,BKLYN,,,
3519279,CLOSED,6/18/2015,269 WASHINGTON AVENUE,3394885,302,,3,BEST,7/1/2015,A3,7/1/2015
3519280,CLOSED,6/18/2015,4103 7 AVENUE,3018165,307,,37,ERT,6/19/2015,I2,6/19/2015
3519281,CLOSED,6/18/2015,51 JUNIUS STREET,3083424,316,IBZ,58,BOILR,6/18/2015,A8,6/15/2015
3519282,ACTIVE,6/18/2015,1728 73 STREET,3159028,311,,45,BKLYN,,,
3519283,ACTIVE,6/18/2015,6318 18 AVENUE,3133113,311,,45,BKLYN,,,
3519284,ACTIVE,6/18/2015,1941 BROADWAY,3834086,304,,5,BKLYN,,,
3519286,ACTIVE,6/18/2015,51 CHURCH AVENUE,3123928,312,,45,BKLYN,,,
3519287,ACTIVE,6/18/2015,224 EAST 88 STREET,3221859,317,,45,BKLYN,,,
3519288,CLOSED,6/18/2015,2261 BRAGG STREET,3201628,315,,29,BKLYN,6/24/2015,I2,6/19/2015
3519289,CLOSED,6/18/2015,2649 EAST 23 STREET,3205175,315,,2E,BEST,6/18/2015,P6,6/18/2015
3519291,ACTIVE,6/18/2015,1764 PACIFIC STREET,3394392,308,,45,BKLYN,,,
3519292,ACTIVE,6/18/2015,255 18 STREET,3016787,307,,4,ERT,7/1/2015,C1,6/30/2015
3519293,CLOSED,6/18/2015,1238 PROSPECT AVENUE,3122464,307,,3,ERT,6/19/2015,A8,6/19/2015
3519294,CLOSED,6/18/2015,3622 FARRAGUT ROAD,3114232,317,,45,BKLYN,6/22/2015,H1,6/22/2015
3519295,CLOSED,6/18/2015,1082 PACIFIC STREET,3027760,308,,30,ERT,6/20/2015,C4,6/20/2015
3519296,CLOSED,6/18/2015,3622 FARRAGUT ROAD,3114232,317,,5,BKLYN,6/22/2015,H1,6/22/2015
3519297,CLOSED,6/18/2015,1082 PACIFIC STREET,3027760,308,,65,PLUMB,6/19/2015,H1,6/19/2015
3519299,CLOSED,6/18/2015,1497 EAST 32 STREET,3211517,318,,73,BKLYN,6/23/2015,A8,6/20/2015
3519300,CLOSED,6/18/2015,95 NORTH 7 STREET,3324823,301,,10,ERT,6/19/2015,C2,6/19/2015
3519301,ACTIVE,6/18/2015,1103 EAST 58 STREET,3216845,318,,55,BKLYN,,,
3519302,ACTIVE,6/18/2015,1153 69 STREET,3143174,310,,45,BKLYN,,,
3519303,ACTIVE,6/18/2015,1157 69 STREET,3143173,310,,45,BKLYN,,,
3519304,CLOSED,6/18/2015,7 EAST 3 STREET,3382209,307,,30,ERT,6/19/2015,I2,6/19/2015
3519305,ACTIVE,6/18/2015,5912 FLATLANDS AVENUE,3214957,318,,5,BKLYN,,,
3519306,CLOSED,6/18/2015,73 MILFORD STREET,3093110,305,,45,BKLYN,6/24/2015,C2,6/23/2015
3519307,ACTIVE,6/18/2015,5912 FLATLANDS AVENUE,3214957,318,,2G,SPOPS,,,
3519308,ACTIVE,6/18/2015,201 NICHOLS AVENUE,3092488,305,,45,BKLYN,,,
3519309,ACTIVE,6/18/2015,78 HENDRIX STREET,3086834,305,,45,BKLYN,,,
3519310,CLOSED,6/18/2015,81 MILFORD STREET,3093107,305,,45,BKLYN,6/24/2015,C2,6/23/2015
3519311,CLOSED,6/18/2015,495 MILFORD STREET,3098706,305,,45,BKLYN,6/24/2015,C2,6/23/2015
3519312,ACTIVE,6/18/2015,196 WALWORTH STREET,3830243,303,,73,BKLYN,,,
3519313,ACTIVE,6/18/2015,1062 41 STREET,3135595,312,,35,BKLYN,,,
3519314,ACTIVE,6/18/2015,196 WALWORTH STREET,3830243,303,,5,BKLYN,,,
3519315,CLOSED,6/18/2015,2694 86 STREET,3192255,313,,35,BKLYN,6/19/2015,I1,6/19/2015
3519316,ACTIVE,6/18/2015,9718 DITMAS AVENUE,3228509,317,IBZ,52,PLUMB,,,
3519317,CLOSED,6/18/2015,2694 86 STREET,3192255,313,,35,BKLYN,6/19/2015,I1,6/19/2015
3519318,ACTIVE,6/18/2015,1573 EAST 37 STREET,3211890,318,,85,BKLYN,,,
3519320,ACTIVE,6/18/2015,2694 86 STREET,3192255,313,,45,BKLYN,,,
3519321,ACTIVE,6/18/2015,680 81 STREET,3151833,310,,5,BKLYN,,,
3519322,CLOSED,6/18/2015,1628 PITKIN AVENUE,3081007,316,,85,BKLYN,6/22/2015,I1,6/22/2015
3519323,CLOSED,6/18/2015,48 VAN BUREN STREET,3050227,303,,30,ERT,6/30/2015,I2,6/29/2015
3519324,CLOSED,6/18/2015,58 ABBEY COURT,3249419,315,,5,BKLYN,6/22/2015,H1,6/22/2015
3519325,CLOSED,6/18/2015,1119 CARROLL STREET,3033556,309,,4,ERT,6/30/2015,I2,6/30/2015
3519326,CLOSED,6/18/2015,482 76 STREET,3149256,310,,10,ERT,6/18/2015,H1,6/18/2015
3519327,CLOSED,6/18/2015,271 MALCOLM X BOULEVARD,3046890,303,,30,ERT,6/19/2015,A8,6/19/2015
3519328,CLOSED,6/18/2015,259 ST NICHOLAS AVENUE,3075817,304,,83,BKLYN,6/22/2015,H1,6/22/2015
3519329,CLOSED,6/18/2015,7708 5 AVENUE,3149847,310,,10,ERT,6/18/2015,H1,6/18/2015
3519330,CLOSED,6/18/2015,259 ST NICHOLAS AVENUE,3075817,304,,9,BKLYN,6/22/2015,H1,6/22/2015
3519331,ACTIVE,6/18/2015,306 BOND STREET,3388211,306,,45,BKLYN,,,
3519332,CLOSED,6/18/2015,216 MALCOLM X BOULEVARD,3045502,303,,5,BKLYN,6/19/2015,I1,6/19/2015
3519334,ACTIVE,6/18/2015,BOND STREET,9999993,306,,92,SPOPS,,,
3519336,CLOSED,6/18/2015,216 MALCOLM X BOULEVARD,3045502,303,,37,ERT,6/19/2015,H1,6/19/2015
3519337,ACTIVE,6/18/2015,176 TOMPKINS AVENUE,3049338,303,,45,BKLYN,,,
3519338,CLOSED,6/18/2015,216 MALCOLM X BOULEVARD,3045502,303,,5,BKLYN,6/22/2015,H1,6/22/2015
3519339,CLOSED,6/18/2015,1066 PARK PLACE,3031651,308,,10,ERT,6/20/2015,I2,6/20/2015
3519340,CLOSED,6/18/2015,465 LEXINGTON AVENUE,3050489,303,,30,ERT,6/19/2015,A8,6/19/2015
3519341,CLOSED,6/18/2015,99 MACON STREET,3053060,303,,91,ERT,6/19/2015,I2,6/19/2015
3519342,CLOSED,6/18/2015,1066 PARK PLACE,3031651,308,,91,ERT,6/20/2015,I2,6/20/2015
3519343,ACTIVE,6/18/2015,1731 BAY RIDGE AVENUE,3134975,311,,35,BKLYN,,,
3519344,CLOSED,6/18/2015,98 LINDEN STREET,3076261,304,,83,BKLYN,6/29/2015,A3,6/19/2015
3519346,ACTIVE,6/18/2015,946 MCDONALD AVENUE,3337667,312,,5,BKLYN,,,
3519347,CLOSED,6/18/2015,70 EAST 8 STREET,3124073,307,,37,ERT,6/23/2015,I2,6/18/2015
3519348,ACTIVE,6/18/2015,216 MALCOM X BOULEVARD,3045502,303,,83,BKLYN,,,
3519349,CLOSED,6/18/2015,1850 66 STREET,3134351,311,,14,EXCAV,6/23/2015,L3,6/22/2015
3519350,CLOSED,6/18/2015,216 MALCOM X BOULEVARD,3045502,303,,37,ERT,6/19/2015,Y3,6/19/2015
3519351,CLOSED,6/18/2015,1020 56 STREET,3139972,312,,49,SPOPS,6/18/2015,I2,6/18/2015
3519352,ACTIVE,6/18/2015,313 GRAND AVENUE,3399073,302,,45,BKLYN,,,
3519353,ACTIVE,6/18/2015,19 STEPHENS COURT,3120709,314,,45,BKLYN,,,
3519354,ACTIVE,6/18/2015,1305 AVENUE R,3182900,315,,53,BKLYN,,,
3519355,CLOSED,6/18/2015,58 ABBEY COURT,3249419,315,,86,ERT,6/20/2015,A8,6/20/2015
3519356,ACTIVE,6/18/2015,2175 HENDRICKSN STREET,3241948,318,,45,BKLYN,,,
3519357,ACTIVE,6/18/2015,793 FRANKLIN AVENUE,3032114,308,,45,BKLYN,,,
3519359,ACTIVE,6/18/2015,2040 73 STREET,3159208,311,,45,BKLYN,,,
3519360,ACTIVE,6/18/2015,2050 BAY RIDGE AVENUE,3156851,311,,74,BKLYN,,,
3519361,CLOSED,6/18/2015,24 AVENUE T,3190719,311,,23,SCFLD,6/23/2015,I2,6/23/2015
3519362,CLOSED,6/18/2015,7200 RIDGE BOULEVARD,3337150,310,,23,SCFLD,6/23/2015,I2,6/19/2015
3519363,CLOSED,6/18/2015,781 WASHINGTON AVENUE,3029551,308,,2B,ERT,6/20/2015,C2,6/20/2015
3519364,ACTIVE,6/18/2015,3719 FORT HAMILTON PARKWAY,3123028,312,,5,BKLYN,,,
3519365,ACTIVE,6/18/2015,15 OLD FULTON STREET,3000074,302,,30,SCB,6/23/2015,EC,6/23/2015
3519366,ACTIVE,6/18/2015,207 BUFFALO AVENUE,3036328,308,,45,BKLYN,,,
3519367,ACTIVE,6/18/2015,8502 7 AVENUE,3153236,310,,5,BKLYN,,,
3519369,CLOSED,6/18/2015,504 EAST 51 STREET,3103771,317,,59,ELCTR,6/24/2015,I2,6/23/2015
3519370,ACTIVE,6/18/2015,88 HART STREET,3322100,303,,83,BKLYN,,,
3519371,ACTIVE,6/18/2015,571 74 STREET,3147958,310,,45,BKLYN,,,
3519372,ACTIVE,6/18/2015,23 HART STREET,3049089,303,,35,BKLYN,,,
3519373,CLOSED,6/18/2015,239 9 STREET,3022063,306,,65,PLUMB,6/19/2015,I2,6/19/2015
3519374,ACTIVE,6/18/2015,489 RALPH AVENUE,3039287,316,,31,BKLYN,,,
3519375,ACTIVE,6/18/2015,2770 OCEAN PARKWAY,3196293,313,,4,ERT,,,
3519377,ACTIVE,6/18/2015,824 MANHATTAN AVENUE,3065125,301,,5,BKLYN,,,
3519379,ACTIVE,6/18/2015,665 NEW YORK AVENUE,3107446,309,,29,BKLYN,,,
3519380,ACTIVE,6/18/2015,2689 BROWN STREET,3205589,315,,55,BKLYN,,,
3519381,ACTIVE,6/18/2015,LINWOOD STREET,9999993,305,,55,BKLYN,,,
3519382,CLOSED,6/18/2015,672 UNION STREET,3020062,306,,29,BKLYN,6/25/2015,A6,6/20/2015
3519383,CLOSED,6/18/2015,1229 45 STREET,3136451,312,,4,ERT,6/30/2015,I2,6/30/2015
3519384,ACTIVE,6/18/2015,125 LENOX ROAD,3116258,317,,63,ELEVR,,,
3519385,CLOSED,6/18/2015,194 MALCOLM X BOULEVARD,3045218,303,,23,SCFLD,6/23/2015,I2,6/22/2015
3519386,CLOSED,6/18/2015,4324 4 AVENUE,3010931,307,,30,ERT,6/18/2015,A8,6/18/2015
3519387,CLOSED,6/18/2015,CONCORD STREET,9999993,302,,4,ERT,6/30/2015,K1,6/30/2015
3519388,CLOSED,6/18/2015,6703 13 AVENUE,3142894,310,,30,ERT,6/20/2015,A8,6/20/2015
3519389,CLOSED,6/18/2015,1577 41 STREET,3125762,312,,65,PLUMB,6/26/2015,C4,6/26/2015
3519390,CLOSED,6/18/2015,BUSHWICK AVENUE,9999993,304,,4,ERT,6/30/2015,K1,6/30/2015
3519391,CLOSED,6/18/2015,314 ST JOHNS PLACE,3029361,308,,29,BKLYN,6/25/2015,I2,6/20/2015
3519392,ACTIVE,6/18/2015,1404 BROOKLYN AVENUE,3327336,317,,63,ELEVR,,,
3519393,CLOSED,6/18/2015,600 ROGERS AVENUE,3115711,309,,4,ERT,6/30/2015,I2,6/30/2015
3519394,CLOSED,6/18/2015,1710 EAST 17 STREET,3183041,315,,37,ERT,6/19/2015,A8,6/19/2015
3519395,CLOSED,6/18/2015,4320 4 AVENUE,3010930,307,,30,ERT,6/18/2015,A8,6/18/2015
3519396,ACTIVE,6/18/2015,2407 BENSON AVENUE,3185525,311,,45,BKLYN,,,
3519397,CLOSED,6/18/2015,209 BAY 41 STREET,3186731,311,,5,BKLYN,6/22/2015,H1,6/22/2015
3519398,CLOSED,6/18/2015,4109 7 AVENUE,3018164,307,,37,ERT,6/19/2015,I2,6/19/2015
3519399,CLOSED,6/18/2015,42 REMSEN STREET,3002126,302,,4,ERT,6/24/2015,I2,6/24/2015
3519400,ACTIVE,6/18/2015,371 ATLANTIC AVENUE,3000687,302,,5,BKLYN,,,
3519401,CLOSED,6/18/2015,608 DEGRAW STREET,3006989,306,,45,BKLYN,6/19/2015,H1,6/19/2015
3519402,CLOSED,6/18/2015,608 DEGRAW STREET,3006989,306,,5,BKLYN,6/19/2015,H1,6/19/2015
3519404,CLOSED,6/18/2015,608 DEGRAW STREET,3006989,306,,31,BKLYN,6/19/2015,H1,6/19/2015
3519405,CLOSED,6/18/2015,1142 BUSHWICK AVENUE,9999993,304,,4,ERT,6/30/2015,K1,6/30/2015
3519407,CLOSED,6/18/2015,1142 BUSHWICK AVENUE,9999993,304,,5,BKLYN,6/19/2015,K1,6/19/2015
3519408,CLOSED,6/18/2015,1138 BUSHWICK AVENUE,3076941,304,,91,ERT,6/20/2015,C2,6/20/2015
3519409,ACTIVE,6/18/2015,1017 EAST 55 STREET,3214741,318,,45,BKLYN,,,
3519410,ACTIVE,6/18/2015,1135 EAST 59 STREET,3218197,318,,45,BKLYN,,,
3519411,CLOSED,6/18/2015,1301 AVENUE R,3182901,315,,86,BKLYN,6/23/2015,I2,6/19/2015
3519412,CLOSED,6/18/2015,173 COURT STREET,3002851,302,,3,ERT,6/20/2015,C2,6/20/2015
3519415,ACTIVE,6/18/2015,1508 SURF AVENUE,3329349,313,,31,BKLYN,,,
3519416,CLOSED,6/18/2015,558 GRANT AVENUE,3094803,305,,45,BKLYN,6/29/2015,Y3,6/29/2015
3519417,ACTIVE,6/18/2015,173 COURT STREET,3002851,302,,83,BKLYN,,,
3519418,CLOSED,6/19/2015,2436 BENSON AVENUE,3186091,311,,35,BKLYN,6/22/2015,I1,6/22/2015
3519420,ACTIVE,6/19/2015,2170 EAST 66 STREET,3238554,318,,45,BKLYN,,,
3519421,ACTIVE,6/19/2015,2970 WEST 27 STREET,3339183,313,,63,ELEVR,,,
3519422,CLOSED,6/19/2015,2081 FULTON STREET,3042038,316,,59,ELCTR,6/29/2015,C2,6/27/2015
3519423,ACTIVE,6/19/2015,2081 FULTON STREET,3042038,316,,45,BKLYN,,,
3519424,ACTIVE,6/19/2015,2160 57 STREET,3131312,312,,5,BKLYN,,,
3519425,ACTIVE,6/19/2015,1305 AVENUE R,3182900,315,,83,BKLYN,,,
3519426,ACTIVE,6/19/2015,2160 57 STREET,3131312,312,,45,BKLYN,,,
3519427,CLOSED,6/19/2015,DOWNING STREET,9999993,302,,9,BKLYN,6/19/2015,K1,6/19/2015
3519429,CLOSED,6/19/2015,91 DAHLGREN PLACE,3154341,310,,1Z,EXEC,6/19/2015,I2,6/19/2015
3519430,ACTIVE,6/19/2015,152 SOUTH 4 STREET,3063442,301,,9,BKLYN,,,
3519431,CLOSED,6/19/2015,442 HENRY STREET,3003801,306,,3,ERT,6/19/2015,I2,6/19/2015
3519432,ACTIVE,6/19/2015,4512 15 AVENUE,3136778,312,,5,BKLYN,,,
3519433,CLOSED,6/19/2015,20 STANHOPE STREET,3074357,304,,5,BKLYN,6/23/2015,H1,6/23/2015
3519434,CLOSED,6/19/2015,4628 BEACH 46 STREET,3189415,313,,29,BKLYN,6/29/2015,I2,6/27/2015
3519435,CLOSED,6/19/2015,1629 45 STREET,3128397,312,,6,BKLYN,6/22/2015,I1,6/22/2015
3519437,ACTIVE,6/19/2015,126 HERKIMER STREET,3053952,303,,5,BKLYN,,,
3519438,ACTIVE,6/19/2015,1069 STERLING PLACE,3031673,308,,5,BKLYN,,,
3519439,CLOSED,6/19/2015,202 SKILLMAN STREET,3398332,303,,23,SCFLD,6/23/2015,L1,6/19/2015
3519440,ACTIVE,6/19/2015,2051 WEST 10 STREET,3387650,311,,45,BKLYN,,,
3519441,ACTIVE,6/19/2015,5212 CHURCH AVENUE,3102930,317,,45,BKLYN,,,
3519442,ACTIVE,6/19/2015,67 A FENIMORE STREET,3115281,309,,2G,SPOPS,,,
3519443,ACTIVE,6/19/2015,67 A FENIMORE STREET,3115281,309,,5,BKLYN,,,
3519444,CLOSED,6/19/2015,KENT AVENUE,9999993,301,,4,ERT,6/30/2015,K1,6/30/2015
3519445,ACTIVE,6/19/2015,15 VAN BRUNT STREET,3829677,306,,4,ERT,,,
3519447,CLOSED,6/19/2015,  70 STREET,9999993,310,,83,BKLYN,6/22/2015,K1,6/22/2015
3519448,CLOSED,6/19/2015,9824 FOSTER AVENUE,3229120,318,,1Z,EXEC,6/19/2015,Y3,6/18/2015
3519449,CLOSED,6/19/2015,182 18 STREET,3009073,307,,30,ERT,6/22/2015,I2,6/21/2015
3519450,CLOSED,6/19/2015,258 4 AVENUE,3007531,306,,92,SPOPS,6/19/2015,A8,6/19/2015
3519451,ACTIVE,6/19/2015,121 LYNCH STREET,3061193,301,,83,BKLYN,,,
3519452,ACTIVE,6/19/2015,9301 3 AVENUE,3155244,310,,49,SPOPS,,,
3519453,ACTIVE,6/19/2015,1091 FULTON STREET,3815438,303,,5,BKLYN,,,
3519454,CLOSED,6/19/2015,266 WASHINGTON AVENUE,3055074,302,,37,ERT,6/22/2015,C2,6/20/2015
3519455,CLOSED,6/19/2015,77 COMMERCIAL STREET,3063675,301,,2E,BEST,6/19/2015,P6,6/19/2015
3519456,ACTIVE,6/19/2015,1616 EAST 53 STREET,3221084,318,,5,BKLYN,,,
3519457,CLOSED,6/19/2015,111 MALCOM X BOULEVARD,3044356,303,,5,BKLYN,6/23/2015,I1,6/23/2015
3519458,ACTIVE,6/19/2015,1144 PRESIDENT STREET,3033523,309,,5,BKLYN,,,
3519459,ACTIVE,6/19/2015,948 MYRTLE AVENUE,3338621,303,,9,BKLYN,,,
3519460,CLOSED,6/19/2015,6002 5 AVENUE,3143442,307,,1Z,EXEC,6/19/2015,A8,5/20/2015
3519461,CLOSED,6/19/2015,7623 5 AVENUE,3149294,310,,30,ERT,6/19/2015,Y3,6/19/2015
3519463,ACTIVE,6/19/2015,4930 20 AVENUE,3129590,312,,2G,SPOPS,,,
3519464,ACTIVE,6/19/2015,4930 20 AVENUE,3129590,312,,59,ELCTR,,,
3519466,CLOSED,6/19/2015,827 JEFFERSON AVENUE,3325076,303,,86,BEST,6/25/2015,I2,6/24/2015
3519467,ACTIVE,6/19/2015,940 78 STREET,3150485,310,,83,BKLYN,,,
3519468,ACTIVE,6/19/2015,2239 TROY AVENUE,3219628,318,,5,BKLYN,,,
3519470,ACTIVE,6/19/2015,387 AVENUE S,3178541,315,,83,BKLYN,,,
3519471,ACTIVE,6/19/2015,273 MONTGOMERY STREET,3034141,309,,5,BKLYN,,,
3519472,ACTIVE,6/19/2015,273 MONTGOMERY STREET,3034141,309,,45,BKLYN,,,
3519473,CLOSED,6/19/2015,644 39 STREET,3017850,307,,2E,BEST,6/19/2015,P6,6/19/2015
3519474,CLOSED,6/19/2015,646 39 STREET,3017851,307,,2E,BEST,6/19/2015,P6,6/19/2015
3519475,CLOSED,6/19/2015,261 HENDRIX STREET,3088281,305,,29,BKLYN,7/1/2015,I2,6/29/2015
3519476,ACTIVE,6/19/2015,442 CLERMONT AVENUE,3329558,302,,45,BKLYN,,,
3519478,CLOSED,6/19/2015,269 WITHERS STREET,3070059,301,,3,ERT,6/21/2015,C2,6/21/2015
3519479,CLOSED,6/19/2015,103 NORTH 10 STREET,3329929,301,,5,BKLYN,6/23/2015,I1,6/23/2015
3519480,CLOSED,6/19/2015,2060 EAST 17 STREET,3198169,315,,83,BKLYN,6/22/2015,I1,6/22/2015
3519481,CLOSED,6/19/2015,342 BROADWAY,3059756,301,,30,ERT,6/19/2015,Y1,6/19/2015
3519482,CLOSED,6/19/2015,902 41 STREET,3135533,312,,4,ERT,6/30/2015,I2,6/30/2015
3519485,CLOSED,6/19/2015,529 MYRTLE AVENUE,3319498,302,,23,SCFLD,6/30/2015,I2,6/30/2015
3519486,CLOSED,6/19/2015,20 VANDALIA AVENUE,3342906,305,,30,ERT,6/20/2015,I2,6/20/2015
3519488,ACTIVE,6/19/2015,1345 41 STREET,3123277,312,,85,BKLYN,,,
3519490,ACTIVE,6/19/2015,124 BEDFORD AVENUE,3061611,301,,45,BKLYN,,,
3519491,ACTIVE,6/19/2015,152 EAST 39 STREET,3108203,317,,45,BKLYN,,,
3519492,CLOSED,6/19/2015,2123 RYDER STREET,3241810,318,,65,PLUMB,6/23/2015,C2,6/23/2015
3519493,CLOSED,6/19/2015,964 DEAN STREET,3028015,308,,59,ELCTR,7/1/2015,I2,7/1/2015
3519494,ACTIVE,6/19/2015,901 59 STREET,3140561,312,,74,BKLYN,,,
3519495,CLOSED,6/19/2015,182 MALCOLM X BOULEVARD,3044955,303,,23,SCFLD,6/25/2015,I2,6/25/2015
3519496,CLOSED,6/19/2015,18 EAST 16 STREET,3116451,314,,5,BKLYN,6/22/2015,I1,6/22/2015
3519497,ACTIVE,6/19/2015,1035 FULTON STREET,3418184,302,,9,BKLYN,,,
3519498,ACTIVE,6/19/2015,151 MOFFAT STREET,3079979,304,,45,BKLYN,,,
3519499,ACTIVE,6/19/2015,3420 AVENUE H,3413639,317,,63,ELEVR,,,
3519500,ACTIVE,6/19/2015,7002 12 AVENUE,3156975,310,,45,BKLYN,,,
3519502,CLOSED,6/19/2015,209 BAY 41 STREET,3186731,311,,91,ERT,6/20/2015,A3,6/20/2015
3519503,ACTIVE,6/19/2015,1239 PRESIDENT STREET,3033268,309,,45,BKLYN,,,
3519504,ACTIVE,6/19/2015,181 ROCKAWAY PARKWAY,3100739,317,,45,BKLYN,,,
3519505,ACTIVE,6/19/2015,91 TAAFFE PLACE,3054675,303,,5,BKLYN,,,
3519506,CLOSED,6/19/2015,1240 PROSPECT AVENUE,3122482,307,,79,ERT,6/19/2015,A3,6/19/2015
3519507,CLOSED,6/19/2015,259 ST NICHOLAS AVENUE,3075817,304,,3,ERT,6/20/2015,A3,6/20/2015
3519508,CLOSED,6/19/2015,266 WASHINGTON AVENUE,3055074,302,,23,SCFLD,6/26/2015,L1,6/25/2015
3519509,ACTIVE,6/19/2015,609 KENT AVENUE,3331956,301,,5,BKLYN,,,
3519510,CLOSED,6/19/2015,269 WITHERS STREET,3070059,301,,9,BKLYN,6/23/2015,H1,6/23/2015
3519511,ACTIVE,6/19/2015,1256 BUSHWICK AVENUE,3078488,304,,4A,SPOPS,,,
3519512,CLOSED,6/19/2015,249 THOMAS BOYLAND STREET,3324663,316,,30,ERT,6/20/2015,I2,6/20/2015
3519513,CLOSED,6/19/2015,321 NEVINS STREET,3007337,306,,4,ERT,6/30/2015,I2,6/30/2015
3519514,ACTIVE,6/19/2015,2750 WEST 33 STREET,3253907,313,,63,ELEVR,,,
3519515,ACTIVE,6/19/2015,1782 WEST 11 STREET,3176482,311,,45,BKLYN,,,
3519516,CLOSED,6/19/2015,3232 SHORE PARKWAY,3246947,315,,63,ELEVR,6/26/2015,A8,6/26/2015
3519517,ACTIVE,6/19/2015,940 78 STREET,3150485,310,,45,BKLYN,,,
3519518,CLOSED,6/20/2015,8430 NEW UTRECHT AVENUE,3165137,311,,73,ERT,6/21/2015,Y3,6/20/2015
3519519,CLOSED,6/20/2015,1012 OCEAN AVENUE,3120571,314,,37,ERT,6/21/2015,I2,6/21/2015
3519520,ACTIVE,6/20/2015,966 78 STREET,3150495,310,,45,BKLYN,,,
3519521,CLOSED,6/20/2015,5511 FT HAMILTON PARKWAY,3139614,312,,45,ERT,6/20/2015,Y3,6/20/2015
3519522,ACTIVE,6/20/2015,1305 AVENUE R,3182900,315,,45,BKLYN,,,
3519523,ACTIVE,6/20/2015,1653 72 STREET,3157834,311,,4,ERT,,,
3519524,ACTIVE,6/20/2015,1003 WILLMOHR STREET,3101742,317,,5,BKLYN,,,
3519525,ACTIVE,6/20/2015,18 FAYETTE STREET,3327997,304,,4,ERT,,,
3519526,ACTIVE,6/20/2015,1545 78 STREET,3161352,311,,45,BKLYN,,,
3519527,ACTIVE,6/20/2015,574 LAFAYETTE AVENUE,3049891,303,,5,BKLYN,,,
3519528,CLOSED,6/20/2015,1142 LAFAYETTE AVENUE,3074653,304,,1E,SCFLD,6/23/2015,I2,6/22/2015
3519530,CLOSED,6/20/2015,145 CLINTON AVENUE,3054303,302,,5,BKLYN,6/23/2015,F6,6/23/2015
3519531,CLOSED,6/20/2015,1702 AVENUE W,3254212,315,,35,BKLYN,6/23/2015,I1,6/23/2015
3519533,ACTIVE,6/20/2015,897 EMPIRE BOULEVARD,3038411,309,,63,ELEVR,,,
3519534,CLOSED,6/20/2015,364 93 STREET,3155255,310,,5,BKLYN,6/23/2015,I1,6/23/2015
3519536,ACTIVE,6/20/2015,701 FENIMORE STREET,3107232,309,,63,ELEVR,,,
3519537,CLOSED,6/20/2015,537 UNION STREET,3336115,306,,23,SCFLD,6/25/2015,I2,6/25/2015
3519538,ACTIVE,6/20/2015,1268 PACIFIC STREET,3030041,308,,6,BKLYN,6/22/2015,D1,6/22/2015
3519539,ACTIVE,6/20/2015,9301 3 AVENUE,3155244,310,,49,SPOPS,,,
3519540,ACTIVE,6/20/2015,105 FRANKLIN STREET,3064796,301,,5,BKLYN,,,
3519541,ACTIVE,6/20/2015,871 59 STREET,3140538,312,,4,ERT,,,
3519542,CLOSED,6/20/2015,711 BRIGHTWATER COURT,3245128,313,,63,ELEVR,7/1/2015,A8,7/1/2015
3519543,ACTIVE,6/20/2015,2681 WEST 2 STREET,3196058,313,,58,BOILR,,,
3519544,CLOSED,6/20/2015,445 GOLD STREET,3397861,302,,91,C & D,6/22/2015,I2,6/22/2015
3519545,CLOSED,6/20/2015,445 GOLD STREET,3397861,302,,91,C & D,6/22/2015,I2,6/22/2015
3519546,ACTIVE,6/20/2015,760 ELDERT LANE,3343250,305,,63,ELEVR,,,
3519547,ACTIVE,6/20/2015,1210 BUSHWICK AVENUE,3393168,304,,83,BKLYN,,,
3519550,CLOSED,6/20/2015,2184 MCDONALD AVENUE,3191412,311,,53,BKLYN,6/23/2015,F1,6/23/2015
3519552,ACTIVE,6/20/2015,2797 EAST 27 STREET,3247430,315,,9,BKLYN,,,
3519553,ACTIVE,6/20/2015,597 DEGRAW STREET,3006812,306,,92,SPOPS,,,
3519554,CLOSED,6/20/2015,92 COURT STREET,3002641,302,,23,SCFLD,6/25/2015,I2,6/25/2015
3519555,ACTIVE,6/20/2015,1829 BENSON AVENUE,3331052,311,,5,BKLYN,,,
