locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
637560,Fins on the Hoof / Saveurs,Truck,9507000,NATOMA ST: 01ST ST to 02ND ST (20 - 99),500 HOWARD ST,3721011,3721,011,15MFF-0111,APPROVED,Seafood: meats and desserts,,,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0111&ExportPDF=1&Filename=15MFF-0111_schedule.pdf,,03/30/2015 10:10:35 AM,Mar 30 2015 10:04AM,0,03/15/2016 12:00:00 AM,
509496,Sun Rise Catering,Truck,9513000,NATOMA ST: RUSS ST to 07TH ST (547 - 599),560 NATOMA ST,3726071,3726,071,14MFF-0001,EXPIRED,Cold Truck: sandwiches: drinks: snacks: candy: hot coffee,6009936.651,2111816.752,37.7792067880556,-122.409199456423,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf,,09/10/2014 03:57:43 PM,Jan  8 2014  3:11PM,1,03/15/2015 12:00:00 AM,"(37.7792068018372, -122.409199456413)"
509493,Sun Rise Catering,Truck,9514000,NATOMA ST: 07TH ST to 08TH ST (600 - 699),640 NATOMA ST,3727052,3727,052,14MFF-0001,EXPIRED,Cold Truck: sandwiches: drinks: snacks: candy: hot coffee,6009405.865,2111311.935,37.7777909291434,-122.411000005343,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf,,09/10/2014 03:57:43 PM,Jan  8 2014  3:11PM,1,03/15/2015 12:00:00 AM,"(37.7777909429263, -122.411000005333)"
632982,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",,30735000,NEW MONTGOMERY ST: MARKET ST \ MONTGOMERY ST intersection,2 MONTGOMERY ST,0291007,0291,007,15MFF-0093,APPROVED,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.,6012142.899,2115481.242,37.7893919761027,-122.401824747121,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0093&ExportPDF=1&Filename=15MFF-0093_schedule.pdf,,03/18/2015 11:50:34 AM,Mar 17 2015  3:32PM,1,03/15/2016 12:00:00 AM,"(37.7893919898744, -122.401824747111)"
364218,The Chai Cart,Push Cart,9543000,NEW MONTGOMERY ST: AMBROSE BIERCE ST to MISSION ST (77 - 99),79 NEW MONTGOMERY ST,3707014,3707,014,12MFF-0083,SUSPEND,Hot Indian Chai (Tea),6012504.312,2114926.774,37.7878896999061,-122.400535326777,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0083&ExportPDF=1&Filename=12MFF-0083_schedule.pdf,,,Apr  3 2012  2:58PM,0,,"(37.7878897136792, -122.400535326768)"
321365,Sausage Slinger,Push Cart,9544000,NEW MONTGOMERY ST: MISSION ST to MINNA ST (100 - 130),100 NEW MONTGOMERY ST,3722071,3722,071,11MFF-0070,SUSPEND,Hot Dogs: Chips and Soda,6012529.293,2114617.375,37.7870415558717,-122.400427155584,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0070&ExportPDF=1&Filename=11MFF-0070_schedule.pdf,,,Apr 11 2011 11:15AM,0,03/15/2013 12:00:00 AM,"(37.7870415696457, -122.400427155574)"
509483,Sun Rise Catering,Truck,9546000,NEW MONTGOMERY ST: NATOMA ST to HOWARD ST (158 - 199),180 NEW MONTGOMERY ST,3722022,3722,022,14MFF-0001,EXPIRED,Cold Truck: sandwiches: drinks: snacks: candy: hot coffee,6012785.32,2114324.261,37.7862510074437,-122.399520766943,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf,,09/10/2014 03:57:43 PM,Jan  8 2014  3:11PM,1,03/15/2015 12:00:00 AM,"(37.7862510212184, -122.399520766934)"
638845,Plaza Garibaldy,Truck,9546000,NEW MONTGOMERY ST: NATOMA ST to HOWARD ST (158 - 199),180 NEW MONTGOMERY ST,3722022,3722,022,15MFF-0114,REQUESTED,Tacos: burritos: quesadillas,6012785.32,2114324.261,37.7862510074437,-122.399520766943,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0114&ExportPDF=1&Filename=15MFF-0114_schedule.pdf,,,Apr  6 2015  1:11PM,0,,"(37.7862510212184, -122.399520766934)"
632702,Park's Catering,Truck,9563000,NEWHALL ST: MENDELL ST to EVANS AVE (200 - 399),330 NEWHALL ST,5203035,5203,035,15MFF-0079,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6016150.748,2098500.68,37.7429898747753,-122.386773267176,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0079&ExportPDF=1&Filename=15MFF-0079_schedule.pdf,,03/17/2015 07:45:54 AM,Mar 16 2015  2:51PM,1,03/15/2016 12:00:00 AM,"(37.742989888592, -122.386773267166)"
632703,Park's Catering,Truck,9563000,NEWHALL ST: MENDELL ST to EVANS AVE (200 - 399),220 NEWHALL ST,5203040,5203,040,15MFF-0079,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6016819.592,2098496.079,37.7430142496315,-122.384460244935,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0079&ExportPDF=1&Filename=15MFF-0079_schedule.pdf,,03/17/2015 07:45:54 AM,Mar 16 2015  2:51PM,1,03/15/2016 12:00:00 AM,"(37.7430142634481, -122.384460244925)"
632709,Park's Catering,Truck,9563000,NEWHALL ST: MENDELL ST to EVANS AVE (200 - 399),300 NEWHALL ST,5203041,5203,041,15MFF-0079,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6016565.95,2098577.827,37.7432246838616,-122.385342973421,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0079&ExportPDF=1&Filename=15MFF-0079_schedule.pdf,,03/17/2015 07:45:54 AM,Mar 16 2015  2:51PM,1,03/15/2016 12:00:00 AM,"(37.743224697678, -122.385342973411)"
641296,Anas Goodies Catering,Truck,9582003,NEWHALL ST: BITTING AVE to EGBERT AVE (2660 - 2899),2660 NEWHALL ST,5434B004,5434B,004,15MFF-0117,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6012315.623,2092832.142,37.7272121739004,-122.399636251644,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0117&ExportPDF=1&Filename=15MFF-0117_schedule.pdf,,05/07/2015 12:58:52 PM,Apr  9 2015  4:06PM,1,03/15/2016 12:00:00 AM,"(37.7272121877323, -122.399636251634)"
632877,Singh Brothers Ice Cream,Truck,9602000,NIBBI CT: GILLETTE AVE to END (1 - 99),35 NIBBI CT,5079004,5079,004,15MFF-0083,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,6013200.29,2086710.154,37.7104516918675,-122.396149078996,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0083&ExportPDF=1&Filename=15MFF-0083_schedule.pdf,,03/17/2015 11:40:48 AM,Mar 17 2015 11:13AM,1,03/15/2016 12:00:00 AM,"(37.7104517057157, -122.396149078986)"
526130,Bach Catering,Truck,9792000,OAKDALE AVE: QUINT ST to RANKIN ST (1900 - 1999),1900 OAKDALE AVE,5314001,5314,001,14MFF-0034,EXPIRED,Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.,6013438.391,2096848.22,37.7383020209625,-122.396036145058,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0034&ExportPDF=1&Filename=14MFF-0034_schedule.pdf,,03/13/2014 12:03:36 PM,Mar 13 2014 11:51AM,1,03/15/2015 12:00:00 AM,"(37.7383020347837, -122.396036145048)"
609699,Loma Linda,,9793000,OAKDALE AVE: RANKIN ST to INDUSTRIAL ST \ SELBY ST (2000 - 2129),2065 OAKDALE AVE,5318046,5318,046,15MFF-0001,REQUESTED,Tacos: Tortas: Burritos,6012486.475,2097210.889,37.7392448256155,-122.399352876437,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0001&ExportPDF=1&Filename=15MFF-0001_schedule.pdf,,,Jan  7 2015  1:02PM,0,,"(37.7392448394358, -122.399352876427)"
632775,Tacos Rodriguez,Truck,9794000,OAKDALE AVE: INDUSTRIAL ST \ SELBY ST to TOLAND ST (2100 - 2199),2198 OAKDALE AVE,5590A008,5590A,008,15MFF-0081,APPROVED,Tacos: burritos: quesadillas: soda & water,6011973.411,2097858.615,37.7409947350024,-122.401172335386,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0081&ExportPDF=1&Filename=15MFF-0081_schedule.pdf,,04/24/2015 02:54:55 PM,Mar 16 2015  4:42PM,1,03/15/2016 12:00:00 AM,"(37.740994748821, -122.401172335377)"
631468,Liang Bai Ping,Truck,9743000,OFARRELL ST: BRODERICK ST to SAINT JOSEPHS AVE (2200 - 2299),2200 OFARRELL ST,1098044,1098,044,15MFF-0061,APPROVED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,,,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0061&ExportPDF=1&Filename=15MFF-0061_schedule.pdf,,03/12/2015 03:40:34 PM,Mar 12 2015  3:33PM,1,03/15/2016 12:00:00 AM,
